AutoCivil-Lab Research Log
[2026-03-11 13:00] Baseline | Model: RandomForestRegressor | RMSE: 2.90 | R2: 0.97 | Composite: 0.941 | Validation: WARN | Threshold established
[2026-03-11 13:00] Trial 001 | Model: SVR | C=0.6871 epsilon=0.2195 kernel=poly gamma=scale | RMSE: 8.42 | R2: 0.75 | Composite: 0.772 | Validation: FAIL | ❌ Rejected
[2026-03-11 13:00] Trial 002 | Model: LightGBM | n_estimators=450 learning_rate=0.1528 num_leaves=41 min_child_samples=14 subsample=0.8873 colsample_bytree=0.8193 | RMSE: 2.56 | R2: 0.97 | Composite: 0.951 | Validation: WARN | ✅ New best
[2026-03-11 13:00] Trial 003 | Model: XGBoost | n_estimators=350 learning_rate=0.02478 max_depth=5 min_child_weight=4.473 subsample=0.9955 colsample_bytree=0.9076 reg_alpha=1.28e-05 | RMSE: 3.15 | R2: 0.96 | Composite: 0.933 | Validation: WARN | ❌ No improvement
[2026-03-11 13:00] Trial 004 | Model: LightGBM | n_estimators=100 learning_rate=0.06739 num_leaves=42 min_child_samples=9 subsample=0.9656 colsample_bytree=0.6327 | RMSE: 2.84 | R2: 0.97 | Composite: 0.942 | Validation: WARN | ❌ No improvement
[2026-03-11 13:00] Trial 005 | Model: Ridge | alpha=0.007473 fit_intercept=False solver=lsqr | RMSE: 36.44 | R2: -3.72 | Composite: -1.126 | Validation: FAIL | ❌ Rejected
[2026-03-11 13:00] Trial 006 | Model: RandomForest | n_estimators=300 max_depth=18 min_samples_split=8 min_samples_leaf=4 max_features=None | RMSE: 3.83 | R2: 0.95 | Composite: 0.916 | Validation: WARN | ❌ No improvement
[2026-03-11 13:00] Trial 160 | Model: GradientBoosting | n_estimators=350 learning_rate=0.1148 max_depth=6 min_samples_split=9 min_samples_leaf=3 subsample=0.8162 | RMSE: 2.48 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 007 | Model: RandomForest | n_estimators=450 max_depth=14 min_samples_split=9 min_samples_leaf=2 max_features=sqrt | RMSE: 3.65 | R2: 0.95 | Composite: 0.921 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 008 | Model: XGBoost | n_estimators=400 learning_rate=0.01378 max_depth=5 min_child_weight=3.447 subsample=0.6991 colsample_bytree=0.897 reg_alpha=1.029 | RMSE: 3.49 | R2: 0.96 | Composite: 0.924 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 009 | Model: XGBoost | n_estimators=400 learning_rate=0.04206 max_depth=7 min_child_weight=9.21 subsample=0.7172 colsample_bytree=0.6845 reg_alpha=2.107e-05 | RMSE: 2.62 | R2: 0.97 | Composite: 0.948 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 010 | Model: Ridge | alpha=0.02881 fit_intercept=False solver=auto | RMSE: 36.44 | R2: -3.72 | Composite: -1.126 | Validation: FAIL | ❌ Rejected
[2026-03-11 13:01] Trial 011 | Model: LightGBM | n_estimators=500 learning_rate=0.2666 num_leaves=20 min_child_samples=25 subsample=0.7674 colsample_bytree=0.9399 | RMSE: 2.42 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ✅ New best
[2026-03-11 13:01] Trial 012 | Model: LightGBM | n_estimators=500 learning_rate=0.2848 num_leaves=16 min_child_samples=28 subsample=0.76 colsample_bytree=0.9773 | RMSE: 2.55 | R2: 0.97 | Composite: 0.950 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 013 | Model: LightGBM | n_estimators=500 learning_rate=0.2454 num_leaves=26 min_child_samples=20 subsample=0.8589 colsample_bytree=0.8892 | RMSE: 2.54 | R2: 0.97 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 014 | Model: GradientBoosting | n_estimators=100 learning_rate=0.02174 max_depth=5 min_samples_split=4 min_samples_leaf=5 subsample=0.6318 | RMSE: 4.91 | R2: 0.91 | Composite: 0.885 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 015 | Model: LightGBM | n_estimators=500 learning_rate=0.01338 num_leaves=20 min_child_samples=24 subsample=0.6124 colsample_bytree=0.9325 | RMSE: 3.38 | R2: 0.96 | Composite: 0.927 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 161 | Model: GradientBoosting | n_estimators=350 learning_rate=0.1451 max_depth=6 min_samples_split=8 min_samples_leaf=5 subsample=0.8101 | RMSE: 2.52 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 016 | Model: LightGBM | n_estimators=350 learning_rate=0.2521 num_leaves=27 min_child_samples=21 subsample=0.7778 colsample_bytree=0.8799 | RMSE: 2.55 | R2: 0.97 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:01] Trial 017 | Model: GradientBoosting | n_estimators=500 learning_rate=0.2762 max_depth=2 min_samples_split=12 min_samples_leaf=1 subsample=0.9901 | RMSE: 2.82 | R2: 0.97 | Composite: 0.942 | Validation: WARN | ❌ No improvement
[2026-03-11 13:02] Trial 018 | Model: SVR | C=77.67 epsilon=0.001114 kernel=rbf gamma=auto | RMSE: 4.40 | R2: 0.93 | Composite: 0.903 | Validation: WARN | ❌ No improvement
[2026-03-11 13:02] Trial 162 | Model: GradientBoosting | n_estimators=350 learning_rate=0.1251 max_depth=6 min_samples_split=9 min_samples_leaf=5 subsample=0.8217 | RMSE: 2.53 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
